rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0126.jpg,50.4,0.8247,0.8354,0.85,0.76,26,17,False,True
2,frame_0127.jpg,50.8,0.8094,0.8488,0.75,0.8,27,15,False,False
3,frame_0130.jpg,52.0,0.8009,0.9338,0.5,0.92,22,10,False,False
4,frame_0120.jpg,48.0,0.7893,0.9506,0.7,0.52,25,14,False,True
5,frame_0090.jpg,36.0,0.7851,0.9463,0.8,0.36,29,16,False,True
6,frame_0129.jpg,51.6,0.7776,0.8731,0.55,0.88,24,11,False,False
7,frame_0125.jpg,50.0,0.7773,0.9367,0.55,0.72,25,11,False,False
8,frame_0128.jpg,51.2,0.7772,0.7984,0.7,0.84,27,14,False,False
9,frame_0131.jpg,52.4,0.7739,0.8638,0.5,0.96,21,10,False,True
10,frame_0119.jpg,47.6,0.7684,0.9549,0.65,0.48,25,13,False,False
11,frame_0116.jpg,46.4,0.7672,0.9105,0.8,0.36,25,16,False,False
12,frame_0132.jpg,52.8,0.7668,0.8336,0.5,1.0,22,10,False,False
13,frame_0123.jpg,49.2,0.7635,0.8809,0.65,0.64,23,13,False,False
14,frame_0388.jpg,155.2,0.7593,0.9447,0.85,0.16,31,17,False,True
15,frame_0133.jpg,53.2,0.7577,0.7854,0.55,1.0,24,11,False,False
16,frame_0092.jpg,36.8,0.7541,0.9161,0.8,0.28,26,16,False,False
17,frame_0124.jpg,49.6,0.7525,0.933,0.5,0.68,23,10,False,False
18,frame_0371.jpg,148.4,0.75,0.8979,0.95,0.08,39,19,False,True
19,frame_0329.jpg,131.6,0.7487,0.9253,0.9,0.08,35,18,False,True
20,frame_0086.jpg,34.4,0.7428,0.8277,0.75,0.52,20,15,False,False
21,frame_0330.jpg,132.0,0.7427,0.8994,0.95,0.04,37,19,False,False
22,frame_0087.jpg,34.8,0.7405,0.8691,0.7,0.48,23,14,False,False
23,frame_0372.jpg,148.8,0.7398,0.8915,0.9,0.12,40,18,False,False
24,frame_0370.jpg,148.0,0.739,0.952,0.85,0.04,36,17,False,False
25,frame_0121.jpg,48.4,0.7366,0.8892,0.6,0.56,26,12,False,False
26,frame_0373.jpg,149.2,0.7349,0.8957,0.85,0.16,36,17,False,False
27,frame_0384.jpg,153.6,0.7337,0.8933,0.85,0.16,34,17,False,False
28,frame_0185.jpg,74.0,0.7336,0.8352,1.0,0.08,30,20,False,True
29,frame_0174.jpg,69.6,0.7284,0.9088,0.7,0.32,25,14,False,True
30,frame_0368.jpg,147.2,0.7241,0.9522,0.8,0.04,37,16,False,False
31,frame_0172.jpg,68.8,0.7221,0.8942,0.65,0.4,24,13,False,False
32,frame_0117.jpg,46.8,0.7198,0.8296,0.75,0.4,24,15,False,False
33,frame_0167.jpg,66.8,0.7178,0.8956,0.5,0.6,26,10,False,True
34,frame_0118.jpg,47.2,0.7175,0.839,0.7,0.44,24,14,False,False
35,frame_0325.jpg,130.0,0.7161,0.9662,0.75,0.04,32,15,False,False
36,frame_0219.jpg,87.6,0.712,0.906,0.65,0.32,22,13,False,True
37,frame_0233.jpg,93.2,0.7118,0.8476,0.8,0.24,34,16,False,True
38,frame_0230.jpg,92.0,0.7115,0.9249,0.75,0.12,32,15,False,False
39,frame_0085.jpg,34.0,0.7105,0.929,0.5,0.48,21,10,False,False
40,frame_0269.jpg,107.6,0.708,0.86,0.9,0.04,27,18,False,False
41,frame_0180.jpg,72.0,0.7039,0.9558,0.7,0.08,31,14,False,False
42,frame_0221.jpg,88.4,0.702,0.918,0.65,0.24,23,13,False,False
43,frame_0374.jpg,149.6,0.702,0.83,0.85,0.16,33,17,False,False
44,frame_0231.jpg,92.4,0.7007,0.8874,0.75,0.16,27,15,False,False
45,frame_0394.jpg,157.6,0.6996,0.9471,0.7,0.08,26,14,False,False
46,frame_0302.jpg,120.8,0.6989,0.9078,0.55,0.4,21,11,False,False
47,frame_0178.jpg,71.2,0.6954,0.9368,0.65,0.16,24,13,False,False
48,frame_0094.jpg,37.6,0.6909,0.8818,0.7,0.2,23,14,False,False
49,frame_0169.jpg,67.6,0.6901,0.9022,0.45,0.52,29,9,False,False
50,frame_0032.jpg,12.8,0.6894,0.9428,0.7,0.04,26,14,False,False
51,frame_0377.jpg,150.8,0.6888,0.9116,0.75,0.04,28,15,False,False
52,frame_0091.jpg,36.4,0.6868,0.7957,0.75,0.32,25,15,False,False
53,frame_0122.jpg,48.8,0.6863,0.8325,0.5,0.6,25,10,False,False
54,frame_0177.jpg,70.8,0.6846,0.8992,0.65,0.2,28,13,False,False
55,frame_0323.jpg,129.2,0.684,0.9299,0.65,0.12,32,13,False,False
56,frame_0111.jpg,44.4,0.6837,0.9434,0.6,0.16,26,12,False,False
57,frame_0110.jpg,44.0,0.6833,0.9585,0.6,0.12,26,12,False,False
58,frame_0395.jpg,158.0,0.6826,0.8972,0.7,0.12,26,14,False,False
59,frame_0084.jpg,33.6,0.6825,0.8891,0.5,0.44,21,10,False,False
60,frame_0089.jpg,35.6,0.6813,0.9027,0.5,0.4,25,10,False,False
61,frame_0324.jpg,129.6,0.6797,0.9075,0.7,0.08,27,14,False,False
62,frame_0102.jpg,40.8,0.6787,0.9494,0.6,0.12,25,12,False,False
63,frame_0095.jpg,38.0,0.6786,0.8732,0.7,0.16,24,14,False,False
64,frame_0168.jpg,67.2,0.6786,0.9233,0.35,0.56,25,7,False,False
65,frame_0218.jpg,87.2,0.6784,0.8827,0.55,0.36,25,11,False,False
